รูปแบบการเดินทาง,วัตถุประสงค์,สาธารณะ/ส่วนบุคคล,หน่วยงาน,ยานพาหนะ/ท่า,วันที่,หน่วย,ปริมาณ
ทางถนน,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,ขสมก.,รถเมล์ ขสมก.,03/01/2025,คน,"498,654"
ทางถนน,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,ขสมก.,รถร่วม (หมวด 1),03/01/2025,คน,0
ทางถนน,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,ขบ.,รถเอกชนเส้นปฏิรูป (หมวด 1),03/01/2025,คน,"324,642"
ทางน้ำ,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,จท.,เรือด่วนเจ้าพระยา,03/01/2025,คน,"12,116"
ทางน้ำ,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,จท.,เรือคลองแสนแสบ,03/01/2025,คน,"19,615"
ทางน้ำ,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,จท.,เรือข้ามฟากเจ้าพระยา,03/01/2025,คน,"24,401"
ทางน้ำ,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,จท.,เรือไฟฟ้าเจ้าพระยา,03/01/2025,คน,"3,786"
ทางน้ำ,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,จท.,เรือภูมิภาค,03/01/2025,คน,"221,699"
ทางราง,การเดินทางระหว่างจังหวัด,สาธารณะ,รฟท.,รถไฟ,03/01/2025,คน,"88,773"
ทางราง,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,รฟม.,รถไฟฟ้าสายสีน้ำเงิน,03/01/2025,คน,"397,302"
ทางราง,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,รฟม.,รถไฟฟ้าสายสีม่วง,03/01/2025,คน,"62,766"
ทางราง,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,รฟม.,รถไฟฟ้าสายสีเหลือง,03/01/2025,คน,"36,856"
ทางราง,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,รฟม.,รถไฟฟ้าสายสีชมพู,03/01/2025,คน,"51,312"
ทางราง,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,รฟฟท.,รถไฟฟ้า ARL,03/01/2025,คน,"63,393"
ทางราง,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,กทม.,รถไฟฟ้า BTS,03/01/2025,คน,"683,558"
ทางราง,การเดินทางภายในจังหวัด/กรุงเทพ,สาธารณะ,รฟฟท.,รถไฟฟ้าสายสีแดง,03/01/2025,คน,"32,470"
ทางอากาศ,การเดินทางระหว่างจังหวัด,สาธารณะ,ทอท.,ท่าอากาศยานสุวรรณภูมิ,03/01/2025,คน,"20,408"
ทางอากาศ,การเดินทางระหว่างจังหวัด,สาธารณะ,ทอท.,ท่าอากาศยานดอนเมือง,03/01/2025,คน,"34,067"
ทางอากาศ,การเดินทางระหว่างจังหวัด,สาธารณะ,ทอท.,ท่าอากาศอื่น ๆ ของ ทอท.,03/01/2025,คน,"29,001"
ทางอากาศ,การเดินทางระหว่างจังหวัด,สาธารณะ,ทย.,ท่าอากาศยานภูมิภาค,03/01/2025,คน,"18,706"
ทางอากาศ,การเดินทางระหว่างจังหวัด,สาธารณะ,กพท.,ท่าอากาศยานอู่ตะเภา,03/01/2025,คน,133
ทางอากาศ,การเดินทางระหว่างจังหวัด,สาธารณะ,กพท.,ท่าอากาศยานสมุย,03/01/2025,คน,"4,441"
ทางถนน,การเดินทางระหว่างประเทศ,สาธารณะ,บขส.,รถ บขส. ขาเข้าประเทศ,03/01/2025,คน,"1,249"
ทางถนน,การเดินทางระหว่างประเทศ,สาธารณะ,บขส.,รถ บขส. ขาออกประเทศ,03/01/2025,คน,"1,599"
